Id;Article0;Indicator0;Article1;Indicator1;Article2;Indicator2;Article3;Indicator3
1;1;2;3;1;2;3;0;0
2;3;1;0;0;2;2;1;3
3;1;1;0;3;3;2;2;0
4;2;2;1;0;3;3;0;1
5;0;0;3;1;1;2;2;3
6;1;2;3;0;2;3;0;1
7;0;0;1;2;3;1;2;3
8;0;2;1;1;3;3;2;0
9;0;1;1;0;2;2;3;3
10;1;2;2;0;0;1;3;3
11;2;0;3;2;1;3;0;1
12;1;3;3;2;0;0;2;1
13;2;0;0;2;3;1;1;3
14;1;2;3;0;0;1;2;3
15;0;3;3;1;2;0;1;2
16;0;0;1;3;2;2;3;1
17;3;3;2;2;0;0;1;1
18;1;2;2;1;0;0;3;3
19;0;2;3;1;2;3;1;0
20;1;2;0;1;3;3;2;0
21;1;1;2;0;0;3;3;2
22;0;0;2;1;3;2;1;3
23;0;2;;;;;;
